Item,Image,Unit Size,Smiths,Walmart,Costco,Maceys,South End Market,Creamery
Lunch Meat,https://i5.walmartimages.com/seo/Land-O-Frost-Premium-Oven-Roasted-Turkey-Breast-Deli-Sliced-Resealable-Plastic-Pouch-16-oz-1-LB-8g-of-Protein_7c85ade8-689c-4341-bcee-71180b18ba4c.fcf6d043e2627a10a259adece50edf23.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,1 lb,$5.99,$5.83,,,$7.65,$6.99
Pizza,https://i5.walmartimages.com/seo/Tony-s-Pepperoni-Pizzeria-Style-Crust-Frozen-Pizza-18-56-oz_21cce843-cde8-4fb8-b6ba-5359ea2d10ec.7b5461918e47f36e6fc10183bc2b606e.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,1 pizza,,$3.84,,$3.33,,$4.49
Sliced Cheese,https://i5.walmartimages.com/seo/Great-Value-Deli-Style-Sliced-Colby-Monterey-Jack-Cheese-8-oz-12-Slices-Plastic-Packaging_e9d397d0-d599-4fdc-bf0c-782af44b2e74.9bd7c578fb823f091ae0d54945552874.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,10 slices,$2.71,$1.86,,,$2.79,$2.49
Yogurt,https://i5.walmartimages.com/seo/Dannon-Oikos-Triple-Zero-Vanilla-Greek-Nonfat-Yogurt-32-oz_7f35f41c-db7b-46ff-827a-464472d0d8f0.706928a359c43436a36b2df233350ade.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,32 oz,$5.99,$5.78,,$8.09,,
Cheese Shredded,https://i5.walmartimages.com/seo/Great-Value-Finely-Shredded-Fiesta-Blend-Cheese-8-oz_5127b37a-3b27-42a9-8d3a-b971b90881bd.f935534052cc2f7792b8c3d017b0d5ce.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,1 lb,$4.00,$4.22,$3.23,$3.98,$5.58,
Bread,https://i5.walmartimages.com/seo/Grandma-Sycamore-s-Enriched-White-Home-Maid-Bread-17-ct_3d6cede3-da30-4bff-bf49-0880b8fa95c7.4b5fb13daea2442d3c0c27cfd3a74055.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,1 loaf,$3.49,$2.98,,$1.99,,$3.99
Tortillas,https://i5.walmartimages.com/seo/Mission-Medium-Taco-Size-Flour-Tortillas-10ct_43af22b2-6f0e-47ed-bf5e-9b63819d2e3f.d28844f48c00bf2c935580e49521c628.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,20 tortillas,$5.79,$4.98,$2.85,$5.99,,
Tortilla Chips,https://i5.walmartimages.com/seo/On-The-Border-Cafe-Style-Tortilla-Chips-Gluten-Free-16-5-oz-Bag_fb8e9a4f-c8ab-4819-8ab7-ed303e6850d6.1d5cd0eaba736487c56a2c7438435146.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,1 bag (18 oz),$3.29,$3.62,,$3.00,,
Rice,https://i5.walmartimages.com/seo/Great-Value-Long-Grain-Enriched-Rice-5-lbs_1da28e14-0b14-46ef-87df-5821cf6b8370.452d1d949fa41fc6bfeb84e80b7371ac.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,5 lb,$3.59,$3.34,,,,
Water bottles,https://i5.walmartimages.com/seo/Great-Value-Purified-Drinking-Water-16-9-fl-oz-Bottles-40-Count_061099c8-2637-49ad-9706-506d42bbe542.33c33902d22157d2c215a61e15fd4a4b.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,40 bottles,$5.99,$5.36,$3.99,$4.69,,
Kodiak Cakes,https://i5.walmartimages.com/seo/Kodiak-Protein-Packed-Power-Cakes-Buttermilk-Flapjack-and-Waffle-Mix-20-oz-Box_394c5a10-4236-43ca-8171-1dbd812c5e7e.e201c4d70d0fb943abff13860c2bb669.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,20oz,$7.49,$5.72,$3.69,$7.49,,
Pasta Roni,https://i5.walmartimages.com/seo/Pasta-Roni-Parmesan-Cheese-Angel-Hair-Pasta-5-1-oz-Box_406afdcd-e45c-49c5-a247-5a8e0c546333_1.80ea4a1674b598c9303af6afe9cbfb3a.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,1 box,$1.67,$1.48,,$0.99,,$1.79
Chicken Frozen Tenderloins,https://i5.walmartimages.com/seo/Great-Value-All-Natural-Chicken-Breast-Tenderloins-3-lb-Frozen_53c485f1-5e4d-4907-acea-c986bbf2f064.349e43cd6cef89deea54517db9e13a66.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,3 lbs,$11.98,$10.64,$9.25,$7.81,,
Milk,https://i5.walmartimages.com/seo/Great-Value-1-Low-Fat-Milk-Gallon_d23cef92-e4a0-44ba-be01-86cfd8ee27c4.33582e8da28b5ab262896579b3a99de4.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,1 gallon,$3.49,$3.22,$3.66,$3.59,,$3.09
Chocolate Milk ,https://i5.walmartimages.com/seo/Great-Value-Milk-1-Lowfat-Chocolate-Half-Gallon-Plastic-Jug_60a8e4d7-ea91-4de6-a815-6f302a80be10.0334a38e315e83d004c0d937063d22d1.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,1/2 gallon,$2.99,$1.82,$3.24,$2.79,,
Toothpaste,https://i5.walmartimages.com/seo/Crest-Premium-Plus-Scope-Toothpaste-Minty-Fresh-Flavor-5-2-oz_00228660-7dcf-464f-bdcb-189d4558280e.3681a4ed588f490dc190739bd151effa.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,5.4 oz,$3.75,$2.99,$3.36,$4.60,,
Soap,https://i5.walmartimages.com/seo/Dove-White-Beauty-Bar-4-oz-8-Bar_e4e819da-0bbf-4ba6-b818-f22da66f5be5.66546f635dacb9f67508a975c0b14dcf.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,8 bars,$11.99,$11.97,$10.45,$12.92,,
Toilet Paper,https://i5.walmartimages.com/seo/Angel-Soft-Toilet-Paper-12-Mega-Rolls-Soft-and-Strong-Toilet-Tissue_355b667b-96d2-4aed-99fa-0c673ca5a78f.37bf28ebe74ea87e033b2aed552e7441.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,12 rolls,$8.66,$9.98,,$14.49,,
Granola,https://i5.walmartimages.com/seo/Nature-Valley-Protein-Granola-Oats-and-Honey-Family-Size-Resealable-Bag-17-OZ_b65d4ba2-c0b2-4681-88db-2449a894e098.90191e59ff960330fbc758f8dca3a53f.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,17 oz,$6.99,$5.98,,,,
Chicken Patties,https://i5.walmartimages.com/seo/Fully-Cooked-and-Breaded-Chicken-Patties_1c5ee77f-5432-4d76-8501-2076e30bb363.74d55597d794b74ff307a4da1aaa1189.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,26 oz,$7.49,$6.46,$9.09,$7.49,,
Hamburger Buns,https://i5.walmartimages.com/seo/Great-Value-Hamburger-Buns-8-Count-11-oz_737cb89a-5c4a-48bf-a28f-130b4b9c4d7d.f06c6f71d6e51c12448ca74f27368ce7.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,8 buns,$1.99,$1.46,$2.50,$1.99,,
BBQ Sauce, https://i5.walmartimages.com/seo/Sweet-Baby-Ray-s-Original-BBQ-18-oz_2c8fd247-45e4-4c56-8c0b-3e7877896e45.c64e269894387ac99e7010cc9b9becbc.jpeg?odnHeight=2000&odnWidth=2000&odnBg=FFFFFF,18 oz,$2.59,$2.28,,$1.49,,
